xab yab zab xbc ybc zbc xca yca zca
-4.00 6.00 10.00 2.00 4.00 6.00 14.00 0.00 -2.00
-3.88 5.96 9.92 2.24 3.92 5.84 13.64 0.12 -1.76
-3.76 5.92 9.84 2.48 3.84 5.68 13.28 0.24 -1.52
-3.64 5.88 9.76 2.72 3.76 5.52 12.92 0.36 -1.28
-3.52 5.84 9.68 2.96 3.68 5.36 12.56 0.48 -1.04
-3.40 5.80 9.60 3.20 3.60 5.20 12.20 0.60 -0.80
-3.28 5.76 9.52 3.44 3.52 5.04 11.84 0.72 -0.56
-3.16 5.72 9.44 3.68 3.44 4.88 11.48 0.84 -0.32
-3.04 5.68 9.36 3.92 3.36 4.72 11.12 0.96 -0.08
-2.92 5.64 9.28 4.16 3.28 4.56 10.76 1.08 0.16
-2.80 5.60 9.20 4.40 3.20 4.40 10.40 1.20 0.40
-2.68 5.56 9.12 4.64 3.12 4.24 10.04 1.32 0.64
-2.56 5.52 9.04 4.88 3.04 4.08 9.68 1.44 0.88
-2.44 5.48 8.96 5.12 2.96 3.92 9.32 1.56 1.12
-2.32 5.44 8.88 5.36 2.88 3.76 8.96 1.68 1.36
-2.20 5.40 8.80 5.60 2.80 3.60 8.60 1.80 1.60
-2.08 5.36 8.72 5.84 2.72 3.44 8.24 1.92 1.84
-1.96 5.32 8.64 6.08 2.64 3.28 7.88 2.04 2.08
-1.84 5.28 8.56 6.32 2.56 3.12 7.52 2.16 2.32
-1.72 5.24 8.48 6.56 2.48 2.96 7.16 2.28 2.56
-1.60 5.20 8.40 6.80 2.40 2.80 6.80 2.40 2.80
-1.48 5.16 8.32 7.04 2.32 2.64 6.44 2.52 3.04
-1.36 5.12 8.24 7.28 2.24 2.48 6.08 2.64 3.28
-1.24 5.08 8.16 7.52 2.16 2.32 5.72 2.76 3.52
-1.12 5.04 8.08 7.76 2.08 2.16 5.36 2.88 3.76
-1.00 5.00 8.00 8.00 2.00 2.00 5.00 3.00 4.00
-0.88 4.96 7.92 8.24 1.92 1.84 4.64 3.12 4.24
-0.76 4.92 7.84 8.48 1.84 1.68 4.28 3.24 4.48
-0.64 4.88 7.76 8.72 1.76 1.52 3.92 3.36 4.72
-0.52 4.84 7.68 8.96 1.68 1.36 3.56 3.48 4.96
-0.40 4.80 7.60 9.20 1.60 1.20 3.20 3.60 5.20
-0.28 4.76 7.52 9.44 1.52 1.04 2.84 3.72 5.44
-0.16 4.72 7.44 9.68 1.44 0.88 2.48 3.84 5.68
-0.04 4.68 7.36 9.92 1.36 0.72 2.12 3.96 5.92
0.08 4.64 7.28 10.16 1.28 0.56 1.76 4.08 6.16
0.20 4.60 7.20 10.40 1.20 0.40 1.40 4.20 6.40
0.32 4.56 7.12 10.64 1.12 0.24 1.04 4.32 6.64
0.44 4.52 7.04 10.88 1.04 0.08 0.68 4.44 6.88
0.56 4.48 6.96 11.12 0.96 -0.08 0.32 4.56 7.12
0.68 4.44 6.88 11.36 0.88 -0.24 -0.04 4.68 7.36
0.80 4.40 6.80 11.60 0.80 -0.40 -0.40 4.80 7.60
0.92 4.36 6.72 11.84 0.72 -0.56 -0.76 4.92 7.84
1.04 4.32 6.64 12.08 0.64 -0.72 -1.12 5.04 8.08
1.16 4.28 6.56 12.32 0.56 -0.88 -1.48 5.16 8.32
1.28 4.24 6.48 12.56 0.48 -1.04 -1.84 5.28 8.56
1.40 4.20 6.40 12.80 0.40 -1.20 -2.20 5.40 8.80
1.52 4.16 6.32 13.04 0.32 -1.36 -2.56 5.52 9.04
1.64 4.12 6.24 13.28 0.24 -1.52 -2.92 5.64 9.28
1.76 4.08 6.16 13.52 0.16 -1.68 -3.28 5.76 9.52
1.88 4.04 6.08 13.76 0.08 -1.84 -3.64 5.88 9.76
2.00 4.00 6.00 14.00 0.00 -2.00 -4.00 6.00 10.00
2.00 4.00 6.00 14.00 0.00 -2.00 -4.00 6.00 10.00
